"","V1","V2"
"1",1,6
"2",1,28
"3",1,36
"4",1,38
"5",1,50
"6",2,10
"7",2,46
"8",2,74
"9",2,81
"10",2,153
"11",2,214
"12",2,216
"13",3,9
"14",3,25
"15",3,39
"16",3,57
"17",3,78
"18",3,95
"19",3,139
"20",3,166
"21",3,188
"22",4,13
"23",4,49
"24",4,52
"25",4,55
"26",4,172
"27",4,201
"28",4,305
"29",5,6
"30",5,15
"31",5,19
"32",5,23
"33",5,26
"34",5,47
"35",5,58
"36",5,65
"37",5,76
"38",5,89
"39",5,123
"40",5,131
"41",5,177
"42",5,216
"43",5,223
"44",5,267
"45",5,310
"46",6,150
"47",6,188
"48",6,214
"49",6,216
"50",7,15
"51",7,25
"52",7,43
"53",7,47
"54",7,76
"55",7,135
"56",7,142
"57",8,43
"58",8,55
"59",9,43
"60",9,64
"61",9,84
"62",9,93
"63",9,105
"64",9,119
"65",9,216
"66",10,15
"67",10,25
"68",10,34
"69",10,39
"70",10,46
"71",10,59
"72",10,96
"73",10,102
"74",10,109
"75",10,146
"76",10,176
"77",10,223
"78",10,233
"79",10,262
"80",11,18
"81",11,19
"82",11,37
"83",11,55
"84",11,99
"85",11,106
"86",11,252
"87",11,286
"88",11,311
"89",12,25
"90",12,26
"91",12,149
"92",12,189
"93",12,254
"94",12,306
"95",13,40
"96",13,55
"97",13,72
"98",13,80
"99",13,138
"100",13,152
"101",13,179
"102",13,291
"103",14,22
"104",14,60
"105",14,164
"106",14,207
"107",14,229
"108",14,267
"109",15,26
"110",15,34
"111",15,42
"112",15,43
"113",15,47
"114",15,79
"115",15,135
"116",15,223
"117",15,231
"118",15,298
"119",15,308
"120",15,310
"121",16,44
"122",16,59
"123",16,68
"124",16,156
"125",16,294
"126",17,36
"127",17,50
"128",17,57
"129",17,58
"130",17,67
"131",17,68
"132",17,71
"133",17,83
"134",17,242
"135",17,288
"136",18,106
"137",18,119
"138",18,139
"139",18,198
"140",19,63
"141",19,70
"142",19,107
"143",19,165
"144",19,177
"145",19,227
"146",20,22
"147",20,253
"148",20,272
"149",21,35
"150",21,180
"151",21,291
"152",22,25
"153",22,68
"154",22,90
"155",22,218
"156",22,253
"157",22,300
"158",23,25
"159",23,58
"160",23,76
"161",23,152
"162",23,223
"163",23,294
"164",24,49
"165",24,253
"166",25,26
"167",25,31
"168",25,32
"169",25,34
"170",25,59
"171",25,69
"172",25,93
"173",25,137
"174",25,190
"175",25,228
"176",25,232
"177",25,266
"178",25,284
"179",25,303
"180",26,28
"181",26,68
"182",26,307
"183",27,74
"184",27,89
"185",27,201
"186",27,305
"187",27,311
"188",28,43
"189",28,47
"190",28,64
"191",28,76
"192",28,92
"193",28,94
"194",28,95
"195",28,100
"196",28,127
"197",28,135
"198",28,153
"199",28,162
"200",28,182
"201",28,223
"202",28,272
"203",29,50
"204",29,93
"205",29,275
"206",30,67
"207",30,246
"208",30,283
"209",31,259
"210",31,283
"211",32,68
"212",32,104
"213",32,305
"214",33,47
"215",33,59
"216",33,307
"217",34,69
"218",34,77
"219",34,121
"220",34,132
"221",34,137
"222",34,190
"223",34,248
"224",34,266
"225",34,284
"226",34,297
"227",34,303
"228",34,314
"229",35,38
"230",35,53
"231",35,256
"232",35,287
"233",36,45
"234",36,67
"235",36,235
"236",37,56
"237",37,104
"238",37,256
"239",38,90
"240",38,97
"241",38,112
"242",38,197
"243",38,285
"244",39,75
"245",39,100
"246",39,162
"247",40,46
"248",40,96
"249",40,100
"250",40,128
"251",40,216
"252",40,223
"253",41,223
"254",42,46
"255",42,96
"256",42,100
"257",42,167
"258",42,210
"259",43,76
"260",43,100
"261",43,131
"262",43,135
"263",43,260
"264",44,100
"265",44,180
"266",45,61
"267",45,80
"268",45,104
"269",45,163
"270",45,308
"271",46,48
"272",46,50
"273",46,57
"274",46,78
"275",46,90
"276",46,111
"277",46,114
"278",46,118
"279",46,210
"280",46,231
"281",46,233
"282",47,263
"283",48,111
"284",48,255
"285",49,300
"286",50,214
"287",50,259
"288",50,308
"289",51,76
"290",51,253
"291",51,294
"292",51,298
"293",52,55
"294",52,91
"295",52,178
"296",52,249
"297",53,64
"298",53,126
"299",53,277
"300",53,296
"301",54,66
"302",54,249
"303",55,57
"304",55,72
"305",55,204
"306",56,64
"307",56,235
"308",57,75
"309",57,204
"310",57,217
"311",57,262
"312",57,282
"313",57,285
"314",58,71
"315",58,73
"316",58,263
"317",59,69
"318",59,71
"319",59,80
"320",59,140
"321",59,214
"322",59,307
"323",60,68
"324",60,170
"325",60,293
"326",61,80
"327",61,90
"328",61,99
"329",61,159
"330",61,232
"331",61,300
"332",62,93
"333",62,304
"334",62,314
"335",63,89
"336",63,122
"337",63,139
"338",64,96
"339",64,135
"340",65,89
"341",65,92
"342",65,123
"343",65,183
"344",65,219
"345",66,168
"346",67,73
"347",67,156
"348",67,224
"349",67,235
"350",68,83
"351",68,305
"352",68,316
"353",69,90
"354",69,304
"355",69,307
"356",69,311
"357",69,316
"358",70,205
"359",70,221
"360",70,234
"361",71,74
"362",71,77
"363",71,259
"364",71,261
"365",71,293
"366",71,298
"367",73,80
"368",74,89
"369",74,123
"370",74,140
"371",74,233
"372",75,143
"373",75,206
"374",76,93
"375",76,104
"376",77,79
"377",77,165
"378",77,187
"379",77,199
"380",77,274
"381",77,290
"382",77,309
"383",77,311
"384",78,90
"385",78,237
"386",79,132
"387",79,141
"388",79,299
"389",79,314
"390",80,286
"391",81,94
"392",81,158
"393",81,214
"394",82,112
"395",82,118
"396",82,121
"397",82,215
"398",83,124
"399",83,260
"400",83,285
"401",83,296
"402",84,120
"403",84,173
"404",84,198
"405",84,229
"406",85,101
"407",85,176
"408",85,238
"409",86,102
"410",86,146
"411",86,176
"412",86,272
"413",86,309
"414",87,92
"415",87,123
"416",87,144
"417",87,187
"418",87,230
"419",87,294
"420",87,304
"421",87,309
"422",88,97
"423",88,122
"424",88,189
"425",88,232
"426",88,245
"427",89,115
"428",89,167
"429",90,118
"430",90,151
"431",90,220
"432",90,289
"433",92,125
"434",92,207
"435",92,265
"436",92,278
"437",93,161
"438",93,304
"439",93,314
"440",94,267
"441",94,306
"442",95,120
"443",95,124
"444",95,146
"445",95,172
"446",95,174
"447",95,183
"448",95,307
"449",96,100
"450",97,108
"451",97,122
"452",97,289
"453",97,296
"454",98,135
"455",98,209
"456",98,222
"457",98,234
"458",99,264
"459",100,157
"460",100,162
"461",101,156
"462",102,135
"463",102,144
"464",102,179
"465",102,211
"466",102,240
"467",102,278
"468",103,222
"469",104,223
"470",105,116
"471",105,186
"472",106,118
"473",106,129
"474",106,206
"475",107,200
"476",107,311
"477",108,109
"478",108,123
"479",108,172
