"","V1","V2"
"1",1,24
"2",1,29
"3",1,138
"4",1,207
"5",2,5
"6",2,10
"7",2,21
"8",2,30
"9",2,46
"10",2,66
"11",2,74
"12",2,89
"13",2,117
"14",2,153
"15",2,168
"16",2,172
"17",2,175
"18",2,214
"19",2,215
"20",2,245
"21",3,86
"22",3,93
"23",3,112
"24",3,120
"25",3,125
"26",3,199
"27",3,224
"28",4,29
"29",4,170
"30",4,199
"31",5,6
"32",5,15
"33",5,59
"34",5,87
"35",5,89
"36",5,96
"37",5,123
"38",5,200
"39",5,236
"40",5,275
"41",6,26
"42",6,47
"43",6,105
"44",6,117
"45",6,123
"46",6,211
"47",7,33
"48",7,179
"49",8,23
"50",8,61
"51",9,15
"52",9,43
"53",9,93
"54",9,116
"55",9,125
"56",9,127
"57",9,135
"58",9,187
"59",9,224
"60",10,39
"61",10,46
"62",10,79
"63",10,80
"64",10,81
"65",10,96
"66",10,102
"67",10,111
"68",10,113
"69",10,114
"70",10,161
"71",11,53
"72",11,78
"73",11,83
"74",11,90
"75",11,99
"76",11,127
"77",11,193
"78",11,253
"79",12,13
"80",12,25
"81",12,83
"82",12,120
"83",12,248
"84",13,21
"85",13,52
"86",13,53
"87",13,55
"88",13,96
"89",13,153
"90",13,182
"91",13,209
"92",13,236
"93",14,30
"94",14,73
"95",14,270
"96",14,276
"97",15,25
"98",15,26
"99",15,174
"100",16,24
"101",16,44
"102",16,266
"103",16,301
"104",17,25
"105",17,29
"106",17,50
"107",17,67
"108",17,138
"109",18,209
"110",18,275
"111",19,25
"112",19,31
"113",19,49
"114",19,90
"115",19,183
"116",19,207
"117",19,227
"118",19,248
"119",19,278
"120",20,41
"121",20,69
"122",20,84
"123",21,180
"124",22,26
"125",22,58
"126",22,71
"127",22,227
"128",22,231
"129",22,253
"130",22,257
"131",22,263
"132",22,271
"133",22,306
"134",23,31
"135",23,36
"136",23,60
"137",23,194
"138",23,207
"139",23,276
"140",24,60
"141",24,252
"142",25,32
"143",25,38
"144",25,49
"145",25,68
"146",25,251
"147",25,255
"148",25,259
"149",25,268
"150",25,273
"151",25,274
"152",25,292
"153",25,293
"154",25,305
"155",26,27
"156",26,96
"157",26,211
"158",26,223
"159",26,236
"160",26,277
"161",27,47
"162",27,49
"163",27,234
"164",27,280
"165",28,43
"166",28,47
"167",28,64
"168",28,93
"169",28,131
"170",28,134
"171",28,135
"172",28,138
"173",28,162
"174",28,187
"175",29,45
"176",29,50
"177",29,56
"178",29,58
"179",29,251
"180",29,255
"181",30,101
"182",30,115
"183",30,226
"184",30,275
"185",31,50
"186",31,207
"187",32,68
"188",33,56
"189",33,179
"190",34,44
"191",34,129
"192",34,296
"193",35,104
"194",35,178
"195",35,193
"196",36,45
"197",36,76
"198",37,67
"199",37,96
"200",37,162
"201",37,171
"202",38,187
"203",38,238
"204",38,243
"205",39,46
"206",39,48
"207",39,95
"208",39,100
"209",39,152
"210",39,191
"211",40,46
"212",40,100
"213",40,176
"214",41,95
"215",41,128
"216",41,172
"217",42,46
"218",42,96
"219",42,101
"220",43,51
"221",43,100
"222",43,134
"223",43,135
"224",43,138
"225",43,189
"226",43,209
"227",43,236
"228",44,45
"229",44,280
"230",45,74
"231",45,102
"232",45,121
"233",45,205
"234",45,248
"235",45,253
"236",46,96
"237",46,111
"238",46,128
"239",46,161
"240",47,51
"241",47,59
"242",47,84
"243",47,275
"244",47,278
"245",47,290
"246",48,54
"247",48,128
"248",48,162
"249",49,68
"250",50,59
"251",51,62
"252",51,84
"253",51,134
"254",51,140
"255",51,182
"256",51,310
"257",52,189
"258",52,199
"259",53,100
"260",53,167
"261",53,191
"262",53,192
"263",53,222
"264",54,125
"265",54,128
"266",54,191
"267",54,260
"268",55,84
"269",55,85
"270",55,127
"271",56,88
"272",56,200
"273",56,249
"274",56,252
"275",57,203
"276",57,210
"277",57,213
"278",57,301
"279",57,305
"280",57,314
"281",58,89
"282",58,227
"283",58,306
"284",59,65
"285",59,80
"286",59,89
"287",59,310
"288",60,80
"289",60,87
"290",60,233
"291",60,252
"292",61,77
"293",61,80
"294",62,112
"295",62,221
"296",62,234
"297",63,104
"298",63,162
"299",64,138
"300",65,89
"301",65,142
"302",65,243
"303",65,316
"304",66,73
"305",66,81
"306",66,194
"307",67,127
"308",67,199
"309",67,227
"310",68,207
"311",68,253
"312",68,280
"313",69,198
"314",69,220
"315",69,230
"316",69,286
"317",70,82
"318",70,106
"319",70,148
"320",70,175
"321",70,297
"322",70,317
"323",71,243
"324",71,254
"325",71,291
"326",71,305
"327",72,214
"328",72,240
"329",73,76
"330",73,203
"331",73,249
"332",74,89
"333",74,117
"334",74,221
"335",74,280
"336",74,281
"337",75,108
"338",75,112
"339",75,124
"340",75,146
"341",75,222
"342",76,87
"343",76,93
"344",76,237
"345",76,317
"346",77,80
"347",77,96
"348",77,118
"349",77,172
"350",77,201
"351",77,240
"352",78,91
"353",78,236
"354",78,294
"355",79,150
"356",79,254
"357",80,100
"358",80,102
"359",80,260
"360",80,289
"361",80,302
"362",81,167
"363",82,86
"364",82,175
"365",82,282
"366",83,279
"367",84,137
"368",84,262
"369",85,147
"370",85,264
"371",85,281
"372",85,312
"373",86,94
"374",86,101
"375",86,169
"376",86,204
"377",86,229
"378",86,236
"379",87,219
"380",87,231
"381",87,251
"382",87,252
"383",87,255
"384",87,259
"385",87,268
"386",87,273
"387",87,274
"388",87,292
"389",87,293
"390",87,295
"391",87,298
"392",87,304
"393",87,307
"394",88,172
"395",88,198
"396",89,215
"397",89,261
"398",89,316
"399",90,174
"400",90,253
"401",90,258
"402",91,142
"403",91,256
"404",91,291
"405",91,310
"406",91,312
"407",92,96
"408",92,196
"409",92,224
"410",92,277
"411",92,308
"412",93,131
"413",93,135
"414",93,282
"415",94,219
"416",94,257
"417",94,317
"418",95,128
"419",95,224
"420",95,254
"421",96,100
"422",96,162
"423",96,182
"424",97,202
"425",98,105
"426",98,226
"427",99,101
"428",99,103
"429",100,117
"430",100,159
"431",100,167
"432",101,240
"433",102,227
"434",102,243
"435",102,306
"436",102,308
"437",103,111
"438",103,172
"439",103,182
"440",104,128
"441",104,193
"442",105,116
"443",105,128
"444",106,139
"445",106,196
"446",106,203
"447",106,281
"448",106,317
"449",107,114
"450",108,183
"451",108,222
"452",108,261
"453",108,267
"454",108,275
"455",109,145
"456",109,148
"457",109,150
"458",109,250
"459",110,151
"460",110,155
"461",110,168
"462",110,216
"463",110,237
"464",110,244
"465",111,159
"466",111,191
"467",113,291
"468",114,258
"469",115,129
"470",115,132
"471",115,175
"472",115,249
"473",115,301
"474",115,310
"475",116,148
"476",116,155
"477",117,156
"478",117,312
"479",118,172
"480",119,176
"481",119,301
"482",119,314
"483",120,127
"484",120,224
"485",120,262
"486",121,132
"487",121,301
"488",121,308
"489",122,133
"490",122,191
"491",122,196
"492",122,242
"493",122,263
"494",122,284
"495",122,297
"496",123,157
"497",123,176
"498",123,299
"499",123,311
"500",123,317
"501",124,141
"502",124,240
"503",124,275
"504",124,284
"505",125,128
"506",126,135
"507",126,183
"508",126,209
"509",127,147
"510",127,186
"511",127,313
"512",128,217
"513",130,141
"514",130,143
"515",130,192
"516",130,237
"517",130,253
"518",131,180
"519",131,189
"520",131,224
"521",131,239
"522",132,150
"523",133,162
"524",133,191
"525",133,221
"526",133,284
"527",134,182
"528",135,139
"529",136,225
"530",136,262
"531",136,272
"532",136,282
"533",136,305
"534",137,250
"535",137,300
"536",137,305
"537",137,312
"538",138,221
"539",138,297
"540",139,142
"541",139,148
"542",139,174
"543",139,180
"544",139,212
"545",140,142
"546",140,310
"547",140,314
"548",141,187
"549",141,189
"550",141,250
"551",143,171
"552",143,203
"553",143,261
"554",143,266
"555",144,236
"556",145,250
"557",146,284
"558",147,228
"559",147,263
"560",147,316
"561",148,150
"562",148,165
"563",148,175
"564",148,308
"565",149,216
"566",149,266
"567",150,159
"568",150,167
"569",150,184
"570",150,237
"571",151,193
"572",152,172
"573",152,265
"574",152,276
"575",152,312
"576",153,191
"577",153,221
"578",154,180
"579",154,224
"580",155,256
"581",155,263
"582",155,288
"583",156,202
"584",156,212
"585",156,249
"586",156,269
"587",156,312
"588",156,313
"589",156,316
"590",157,189
"591",157,212
"592",157,224
"593",157,313
"594",158,184
"595",158,288
"596",159,177
"597",159,191
"598",159,226
"599",159,240
"600",159,257
"601",159,279
"602",160,172
"603",160,187
"604",160,215
"605",160,226
"606",160,240
"607",160,297
"608",160,311
"609",161,211
"610",161,212
"611",162,167
"612",162,191
"613",162,297
"614",164,225
"615",164,245
"616",164,289
"617",165,173
"618",165,252
"619",165,289
"620",166,245
"621",167,177
"622",167,184
"623",167,266
"624",168,171
"625",168,225
"626",168,271
"627",168,311
"628",169,205
"629",169,233
"630",169,244
