"","value","variable","management"
"1",0.308867260552193,"modularity","organic"
"2",0.340128698054773,"modularity","organic"
"3",0.332641156984701,"modularity","organic"
"4",0.327764803862036,"modularity","organic"
"5",0.324075133213227,"modularity","organic"
"6",0.312111841981972,"modularity","organic"
"7",0.332577699651903,"modularity","organic"
"8",0.32410692932634,"modularity","organic"
"9",0.308339729031248,"modularity","organic"
"10",0.316781005872003,"modularity","organic"
"11",0.31938741200037,"modularity","organic"
"12",0.3312922709169,"modularity","organic"
"13",0.318505571780214,"modularity","organic"
"14",0.320634178629384,"modularity","organic"
"15",0.323012030608203,"modularity","organic"
"16",0.330958493990318,"modularity","organic"
"17",0.335810454054174,"modularity","organic"
"18",0.325864645201376,"modularity","organic"
"19",0.327432914785317,"modularity","organic"
"20",0.328899608367562,"modularity","organic"
"21",0.322181203378883,"modularity","organic"
"22",0.334042337098407,"modularity","organic"
"23",0.324197322105317,"modularity","organic"
"24",0.317829500392109,"modularity","organic"
"25",0.328314999634597,"modularity","organic"
"26",0.326356747919039,"modularity","organic"
"27",0.350569832268868,"modularity","organic"
"28",0.324534050046156,"modularity","organic"
"29",0.322952531897644,"modularity","organic"
"30",0.325661001324742,"modularity","organic"
"31",0.314125370735582,"modularity","organic"
"32",0.344664743790004,"modularity","organic"
"33",0.311807876714569,"modularity","organic"
"34",0.340312858938029,"modularity","organic"
"35",0.333197607795853,"modularity","organic"
"36",0.340465468138128,"modularity","organic"
"37",0.318660938349943,"modularity","organic"
"38",0.322365021958151,"modularity","organic"
"39",0.319226739001189,"modularity","organic"
"40",0.335453005273582,"modularity","organic"
"41",0.324055113093087,"modularity","organic"
"42",0.329366430195667,"modularity","organic"
"43",0.346126163971154,"modularity","organic"
"44",0.346501567204056,"modularity","organic"
"45",0.33441234735237,"modularity","organic"
"46",0.334456761488859,"modularity","organic"
"47",0.313586936019315,"modularity","organic"
"48",0.317378318911993,"modularity","organic"
"49",0.331102746697145,"modularity","organic"
"50",0.331943254537734,"modularity","organic"
"51",0.328849261311173,"modularity","organic"
"52",0.333735855492751,"modularity","organic"
"53",0.319463100830494,"modularity","organic"
"54",0.319927312263179,"modularity","organic"
"55",0.326392975607236,"modularity","organic"
"56",0.334968900699089,"modularity","organic"
"57",0.331799346807996,"modularity","organic"
"58",0.323908065094407,"modularity","organic"
"59",0.321308263776022,"modularity","organic"
"60",0.326904336841065,"modularity","organic"
"61",0.334783201855404,"modularity","organic"
"62",0.322447941935609,"modularity","organic"
"63",0.322842667072533,"modularity","organic"
"64",0.336013037709428,"modularity","organic"
"65",0.328196871158995,"modularity","organic"
"66",0.336320830480974,"modularity","organic"
"67",0.33497006980296,"modularity","organic"
"68",0.325005904165427,"modularity","organic"
"69",0.325066159424015,"modularity","organic"
"70",0.344337086406279,"modularity","organic"
"71",0.322753506683156,"modularity","organic"
"72",0.331885086450243,"modularity","organic"
"73",0.32018526205849,"modularity","organic"
"74",0.321708858554622,"modularity","organic"
"75",0.331912431627499,"modularity","organic"
"76",0.333598956884971,"modularity","organic"
"77",0.320632786118575,"modularity","organic"
"78",0.327346341164678,"modularity","organic"
"79",0.333646714583393,"modularity","organic"
"80",0.324881538038932,"modularity","organic"
"81",0.331313132830123,"modularity","organic"
"82",0.32027084573397,"modularity","organic"
"83",0.323986995998769,"modularity","organic"
"84",0.326739256198347,"modularity","organic"
"85",0.32283140989717,"modularity","organic"
"86",0.326905139363245,"modularity","organic"
"87",0.337595373799488,"modularity","organic"
"88",0.343003705675723,"modularity","organic"
"89",0.323934007018628,"modularity","organic"
"90",0.342316881300624,"modularity","organic"
"91",0.328926774040893,"modularity","organic"
"92",0.333566234665611,"modularity","organic"
"93",0.328927671160271,"modularity","organic"
"94",0.321383103606011,"modularity","organic"
"95",0.331197303399222,"modularity","organic"
"96",0.317684964797331,"modularity","organic"
"97",0.331213329081633,"modularity","organic"
"98",0.315928126379707,"modularity","organic"
"99",0.331866433754367,"modularity","organic"
"100",0.318725845942972,"modularity","organic"
"101",0.34567038595542,"modularity","organic"
"102",0.338168832324671,"modularity","organic"
"103",0.351249481401482,"modularity","organic"
"104",0.328208153545362,"modularity","organic"
"105",0.341454409531675,"modularity","organic"
"106",0.317962411875155,"modularity","organic"
"107",0.325236906334301,"modularity","organic"
"108",0.322450755548452,"modularity","organic"
